"sampid","hid","isolate","datecollected"
"dzd-1","6662880545010910000","1","7/30/2018"
"dzd-10","8662897545036910000","1","7/30/2018"
"dzd-100","6898103792353320000","1","8/11/2018"
"dzd-1000","346443390425995000","1","10/7/2018"
"dzd-1001","7096515478049650000","1","10/7/2018"
"dzd-1002","6350216595745890000","1","10/7/2018"
"dzd-1003","5096514478036650000","1","10/7/2018"
"dzd-1004","6350216595746890000","1","10/7/2018"
"dzd-1005","3789389258994650000","1","10/7/2018"
"dzd-1006","6232304127413300000","1","10/7/2018"
"dzd-1007","5214411946349240000","2.0","10/7/2018"
"dzd-1008","5214413946362240000","1","10/7/2018"
"dzd-1009","9214415946258240000","1","10/7/2018"
"dzd-101","7105704412913570000","1","8/11/2018"
"dzd-1010","4230427018572750000","4.0","10/7/2018"
"dzd-1011","789376258961650000","1","10/7/2018"
"dzd-1012","7232318127435300000","1","10/7/2018"
"dzd-1013","4657325814767900000","2.0","10/7/2018"
"dzd-1014","785611053688754000","1","10/7/2018"
"dzd-1015","7677104092265300000","2.0","10/7/2018"
"dzd-1016","1326680112953590000","2.0","10/7/2018"
"dzd-1017","5769604981406240000","1","10/7/2018"
"dzd-1018","4657331814881900000","1","10/7/2018"
"dzd-1019","8214405946263240000","1","10/7/2018"
"dzd-102","4102046208257670000","1","8/11/2018"
"dzd-1020","4657331814881900000","1","10/7/2018"
"dzd-1021","7232318127435300000","1","10/7/2018"
"dzd-1022","7232311127433300000","1","10/7/2018"
"dzd-1023","5657339814895900000","1","10/7/2018"
"dzd-1024","5789382258870650000","5.0","10/7/2018"
"dzd-1025","5657339814895900000","1","10/7/2018"
"dzd-1026","785611053698754000","1","10/7/2018"
"dzd-1027","9214423946280240000","1","10/7/2018"
"dzd-1028","214401946448246000","1","10/7/2018"
"dzd-1029","785610053684754000","1","10/7/2018"
"dzd-103","7105704412910570000","1","8/11/2018"
"dzd-1030","4657331814882900000","1","10/7/2018"
"dzd-1031","5657332814759900000","1","10/7/2018"
"dzd-1032","8214402946248240000","1","10/7/2018"
"dzd-1033","1096489477997650000","1","10/7/2018"
"dzd-1034","214388946318245000","1","10/7/2018"
"dzd-1035","785618053702754000","1","10/7/2018"
"dzd-1036","8214405946263240000","1","10/7/2018"
"dzd-1037","210637741046349000","1","10/7/2018"
"dzd-1038","8214412946243240000","2.0","10/7/2018"
"dzd-1039","4657326814752900000","1","10/7/2018"
"dzd-104","6898115792360320000","1","8/11/2018"
"dzd-1040","8214413946244240000","1","10/7/2018"
"dzd-1041","7350228595733890000","1","10/7/2018"
"dzd-1042","4096503478036650000","1","10/7/2018"
"dzd-1043","3096495478009650000","2.0","10/7/2018"
"dzd-1044","8096515478061650000","2.0","10/7/2018"
"dzd-1045","2096495478001650000","1","10/7/2018"
"dzd-1046","1096487478015650000","1","10/7/2018"
"dzd-1047","1346455390561990000","1","10/7/2018"
"dzd-1048","5096518478164650000","1","10/7/2018"
"dzd-1049","8096510477940650000","1","10/7/2018"
"dzd-105","219933676551263000","1","8/11/2018"
"dzd-1050","6350223595724890000","1","10/7/2018"
"dzd-1051","1096487478016650000","2.0","10/7/2018"
"dzd-1052","7350226595753890000","1","10/7/2018"
"dzd-1053","3096495478010650000","1","10/7/2018"
"dzd-1054","8096515478061650000","1","10/7/2018"
"dzd-1055","7096505477936650000","1","10/7/2018"
"dzd-1056","785606053566753000","1","10/7/2018"
"dzd-1057","1346454390552990000","1","10/7/2018"
"dzd-1058","1346448390432990000","1","10/7/2018"
"dzd-1059","5096518478164650000","1","10/7/2018"
"dzd-106","4102057208391670000","1","8/11/2018"
"dzd-1060","6350226595745890000","1","10/7/2018"
"dzd-1061","4230425018561750000","1","10/7/2018"
"dzd-1062","7232310127417300000","2.0","10/7/2018"
"dzd-1063","3096496478023650000","1","10/7/2018"
"dzd-1064","785606053566753000","1","10/7/2018"
"dzd-1065","7232309127425300000","3.0","10/7/2018"
"dzd-1066","6346468390482990000","1","10/7/2018"
"dzd-1067","3096507478154650000","1","10/7/2018"
"dzd-1068","7096504477920650000","1","10/7/2018"
"dzd-1069","8214412946243240000","3.0","10/7/2018"
"dzd-107","5898112792359320000","1","8/11/2018"
"dzd-1070","8096515478056650000","1","10/7/2018"
"dzd-1071","3096495478008650000","1","10/7/2018"
"dzd-1072","6232306127427300000","2.0","10/7/2018"
"dzd-1073","1221156512353610000","3.0","10/21/2018"
"dzd-1074","2778848487674380000","2.0","10/21/2018"
"dzd-1075","1221156512353610000","3.0","10/21/2018"
"dzd-1076","5664103380801270000","1","10/21/2018"
"dzd-1077","1778843487669380000","2.0","10/21/2018"
"dzd-1078","5664108380795270000","1","10/21/2018"
"dzd-1079","778840487679383000","1","10/21/2018"
"dzd-108","3780067323368730000","1","8/11/2018"
"dzd-1080","2221153512239610000","1","10/21/2018"
"dzd-1081","778840487677383000","1","10/21/2018"
"dzd-1082","5664110380809270000","1","10/21/2018"
"dzd-1083","1221144512214610000","1","10/21/2018"
"dzd-1084","4221175512377610000","1","10/21/2018"
"dzd-1085","2778862487694380000","2.0","10/21/2018"
"dzd-1086","6664111380821270000","1","10/21/2018"
"dzd-1087","778839487664383000","1","10/21/2018"
"dzd-1088","7350227595751890000","1","10/21/2018"
"dzd-1089","778839487665383000","1","10/21/2018"
"dzd-109","219929676536263000","1","8/11/2018"
