"sampid","organism"
"dzd-1","Proteus mirabilis"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-100","Klebsiella pneumoniae"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1001","Stenotrophomonas maltophilia"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1005","Escherichia coli"
"dzd-1006","Staphylococcus aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-101","Klebsiella pneumoniae"
"dzd-1011","Staphylococcus aureus"
"dzd-1012","Serratia marcescens"
"dzd-1014","Escherichia coli"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus aureus"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-102","Klebsiella pneumoniae"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1021","Serratia marcescens"
"dzd-1022","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1025","Escherichia coli"
"dzd-1025","Staphylococcus capitis"
"dzd-1026","Escherichia coli"
"dzd-1027","Citrobacter freundii"
"dzd-1028","Escherichia coli"
"dzd-1029","Escherichia coli"
"dzd-103","Escherichia coli"
"dzd-1030","Staphylococcus aureus"
"dzd-1031","Stenotrophomonas maltophilia"
"dzd-1032","Citrobacter freundii"
"dzd-1033","Escherichia coli"
"dzd-1034","Staphylococcus pseudointermedius"
"dzd-1035","Pseudomonas aeruginosa"
"dzd-1036","Staphylococcus epidermidis"
"dzd-1036","Staphylococcus haemolyticus"
"dzd-1037","Candida parapsilosis"
"dzd-1037","Staphylococcus aureus"
"dzd-1039","Staphylococcus epidermidis"
"dzd-104","Klebsiella pneumoniae"
"dzd-1040","Enterobacter aerogenes"
"dzd-1041","Pseudomonas aeruginosa"
"dzd-1042","Enterobacter aerogenes"
"dzd-1045","Staphylococcus aureus"
"dzd-1046","Oxacillin-resistant S. aureus"
"dzd-1047","Escherichia coli"
"dzd-1048","Escherichia coli"
"dzd-1049","Escherichia coli"
"dzd-105","Pseudomonas aeruginosa"
"dzd-1050","Escherichia coli"
