"sampid","organism"
"dzd-1","Proteus mirabilis"
"dzd-1","Proteus mirabilis"
"dzd-1","Proteus mirabilis"
"dzd-1","Proteus mirabilis"
"dzd-1","Proteus mirabilis"
"dzd-1","Proteus mirabilis"
"dzd-1","Proteus mirabilis"
"dzd-1","Proteus mirabilis"
"dzd-1","Proteus mirabilis"
"dzd-1","Proteus mirabilis"
"dzd-1","Proteus mirabilis"
"dzd-1","Proteus mirabilis"
"dzd-1","Proteus mirabilis"
"dzd-1","Proteus mirabilis"
"dzd-1","Proteus mirabilis"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-100","Klebsiella pneumoniae"
"dzd-100","Klebsiella pneumoniae"
"dzd-100","Klebsiella pneumoniae"
"dzd-100","Klebsiella pneumoniae"
"dzd-100","Klebsiella pneumoniae"
"dzd-100","Klebsiella pneumoniae"
"dzd-100","Klebsiella pneumoniae"
"dzd-100","Klebsiella pneumoniae"
"dzd-100","Klebsiella pneumoniae"
"dzd-100","Klebsiella pneumoniae"
"dzd-100","Klebsiella pneumoniae"
"dzd-100","Klebsiella pneumoniae"
"dzd-100","Klebsiella pneumoniae"
"dzd-100","Klebsiella pneumoniae"
"dzd-100","Klebsiella pneumoniae"
"dzd-100","Klebsiella pneumoniae"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1001","Stenotrophomonas maltophilia"
"dzd-1001","Stenotrophomonas maltophilia"
"dzd-1001","Stenotrophomonas maltophilia"
"dzd-1001","Stenotrophomonas maltophilia"
"dzd-1001","Stenotrophomonas maltophilia"
"dzd-1001","Stenotrophomonas maltophilia"
"dzd-1001","Stenotrophomonas maltophilia"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
